,Avg Rate,QoS Fails
Opt-static,17.850630368666952,16.0
Bal-static,17.85063036866694,9.0
Opt-invh,17.84743797772182,16.0
Bal-invh,17.85021959303627,9.0
Opt-optimal,17.850642549237175,16.0
Bal-optimal,17.85064254923718,9.0
Opt-convex,17.850621302063765,16.0
Bal-convex,17.850621302063768,9.0
Opt-heuristic,17.85063349511897,16.0
Bal-heuristic,17.850637420550296,9.0
Opt-learning,17.85063711887623,16.0
Bal-learning,17.850637420550296,9.0
